role,haidt,path
Theme,Oppression,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Keep', 'https://w3id.org/framester/data/framestercore/InhibitMovement', 'https://w3id.org/spice/SON/HaidtValues#Oppression']"
Theme,Oppression,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Keep', 'https://w3id.org/framester/data/framestercore/Detaining', 'https://w3id.org/spice/SON/HaidtValues#Oppression']"
Theme,Harm,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Die', 'https://w3id.org/framester/data/framestercore/Death', 'https://w3id.org/spice/SON/HaidtValues#Harm']"
Theme,Harm,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Tear', 'https://w3id.org/framester/data/framestercore/ExperienceBodilyHarm', 'https://w3id.org/spice/SON/HaidtValues#Harm']"
Theme,Harm,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Knock', 'https://w3id.org/framester/data/framestercore/CauseHarm', 'https://w3id.org/spice/SON/HaidtValues#Harm']"
Theme,Harm,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Attack', 'https://w3id.org/framester/data/framestercore/Attack', 'https://w3id.org/spice/SON/HaidtValues#Harm']"
Theme,Loyalty,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Support', 'https://w3id.org/framester/data/framestercore/TakingSides', 'https://w3id.org/spice/SON/HaidtValues#Loyalty']"
Theme,Care,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Bed', 'https://w3id.org/framester/data/framestercore/Supply', 'https://w3id.org/spice/SON/HaidtValues#Care']"
Theme,Harm,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Fight', 'https://w3id.org/framester/data/framestercore/HostileEncounter', 'https://w3id.org/spice/SON/HaidtValues#Harm']"
Theme,Harm,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Hit', 'https://w3id.org/framester/data/framestercore/CauseHarm', 'https://w3id.org/spice/SON/HaidtValues#Harm']"
Theme,Harm,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Hit', 'https://w3id.org/framester/data/framestercore/ExperienceBodilyHarm', 'https://w3id.org/spice/SON/HaidtValues#Harm']"
Theme,Harm,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Kick', 'https://w3id.org/framester/data/framestercore/CauseHarm', 'https://w3id.org/spice/SON/HaidtValues#Harm']"
Theme,Harm,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Death', 'https://w3id.org/framester/data/framestercore/Death', 'https://w3id.org/spice/SON/HaidtValues#Harm']"
Theme,Harm,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Scratch', 'https://w3id.org/framester/data/framestercore/ExperienceBodilyHarm', 'https://w3id.org/spice/SON/HaidtValues#Harm']"
Theme,Harm,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Maul', 'https://w3id.org/framester/data/framestercore/CauseHarm', 'https://w3id.org/spice/SON/HaidtValues#Harm']"
Theme,Harm,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Burn', 'https://w3id.org/framester/data/framestercore/ExperienceBodilyHarm', 'https://w3id.org/spice/SON/HaidtValues#Harm']"
Theme,Harm,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Euthanize', 'https://w3id.org/framester/data/framestercore/Killing', 'https://w3id.org/spice/SON/HaidtValues#Harm']"
Theme,Harm,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Suffer', 'https://w3id.org/framester/data/framestercore/Catastrophe', 'https://w3id.org/spice/SON/HaidtValues#Harm']"
Theme,Care,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Treatment', 'https://w3id.org/framester/data/framestercore/Cure', 'https://w3id.org/spice/SON/HaidtValues#Care']"
Theme,Harm,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Choke', 'https://w3id.org/framester/data/framestercore/CauseHarm', 'https://w3id.org/spice/SON/HaidtValues#Harm']"
Theme,Harm,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Choke', 'https://w3id.org/framester/data/framestercore/ExperienceBodilyHarm', 'https://w3id.org/spice/SON/HaidtValues#Harm']"
Theme,Care,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Choke', 'https://w3id.org/framester/data/framestercore/Supply', 'https://w3id.org/spice/SON/HaidtValues#Care']"
Theme,Fairness,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Choose', 'https://w3id.org/framester/data/framestercore/Partiality', 'https://w3id.org/spice/SON/HaidtValues#Fairness']"
Theme,Oppression,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Detention', 'https://w3id.org/framester/data/framestercore/InhibitMovement', 'https://w3id.org/spice/SON/HaidtValues#Oppression']"
Theme,Oppression,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Detention', 'https://w3id.org/framester/data/framestercore/Detaining', 'https://w3id.org/spice/SON/HaidtValues#Oppression']"
Theme,Harm,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Raid', 'https://w3id.org/framester/data/framestercore/Attack', 'https://w3id.org/spice/SON/HaidtValues#Harm']"
Theme,Care,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Cure', 'https://w3id.org/framester/data/framestercore/Cure', 'https://w3id.org/spice/SON/HaidtValues#Care']"
Theme,Fairness,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Taste', 'https://w3id.org/framester/data/framestercore/Inclination', 'https://w3id.org/spice/SON/HaidtValues#Fairness']"
Theme,Loyalty,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Link', 'https://w3id.org/framester/data/framestercore/SocialConnection', 'https://w3id.org/spice/SON/HaidtValues#Loyalty']"
Theme,Harm,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Killer', 'https://w3id.org/framester/data/framestercore/Killing', 'https://w3id.org/spice/SON/HaidtValues#Harm']"
Theme,Harm,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#MentalDisability', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Disability', 'https://w3id.org/framester/data/framestercore/CauseHarm', 'https://w3id.org/spice/SON/HaidtValues#Harm']"
Theme,Harm,"['http://www.ontologydesignpatterns.org/ont/fred/domain.owl#MentalDisability', 'http://www.ontologydesignpatterns.org/ont/fred/domain.owl#Disability', 'https://w3id.org/framester/data/framestercore/ExperienceBodilyHarm', 'https://w3id.org/spice/SON/HaidtValues#Harm']"
